asdu_len,io_type,type_id,src,dst,interval,relative_time_stamp
17,65537,122,0,1,0,0
19,65537,120,1,0,0.000595,0.000595
17,65537,122,0,1,0.000119,0.000714
20,65537,121,1,0,0.000338,0.001052
17,65537,122,0,1,0.062174,0.063226
506,65537,125,1,0,0.000771,0.063997
57,65537,125,1,0,1e-06,0.063998
506,65537,125,1,0,0.000344,0.064342
57,65537,125,1,0,1e-06,0.064343
506,65537,125,1,0,0.000341,0.064684
57,65537,125,1,0,0.000371,0.065055
506,65537,125,1,0,0.0,0.065055
57,65537,125,1,0,0.000349,0.065404
506,65537,125,1,0,0.000724,0.066377
57,65537,125,1,0,0.0,0.066377
506,65537,125,1,0,0.000298,0.066675
310,65537,125,1,0,0.000359,0.067278
310,65537,125,1,0,0.000549,0.067827
581,65537,125,1,0,0.000392,0.068219
17,65537,124,0,1,7.2e-05,0.069176
18,65537,123,1,0,0.000568,0.069744
17,65537,124,0,1,0.000197,0.069941
17,65537,122,0,1,0.35115,0.421413
19,65537,120,1,0,0.000409,0.421822
17,65537,122,0,1,0.000216,0.422038
20,65537,121,1,0,0.000317,0.422355
17,65537,122,0,1,0.061678,0.484033
506,65537,125,1,0,0.000813,0.484846
57,65537,125,1,0,1e-06,0.484847
506,65537,125,1,0,0.000345,0.485192
57,65537,125,1,0,0.0,0.485192
506,65537,125,1,0,1e-06,0.485193
57,65537,125,1,0,0.000346,0.485539
506,65537,125,1,0,0.000488,0.486027
57,65537,125,1,0,4.2e-05,0.48637
506,65537,125,1,0,0.000633,0.487003
57,65537,125,1,0,1e-06,0.487004
506,65537,125,1,0,0.000344,0.487348
310,65537,125,1,0,0.000372,0.488225
310,65537,125,1,0,0.000516,0.488741
581,65537,125,1,0,0.000374,0.489115
17,65537,124,0,1,7.2e-05,0.489952
18,65537,123,1,0,0.000333,0.490285
17,65537,124,0,1,0.000213,0.490498
17,65537,122,0,1,0.336102,0.826912
19,65537,120,1,0,0.000365,0.827277
17,65537,122,0,1,0.000248,0.827525
20,65537,121,1,0,0.000331,0.827856
17,65537,122,0,1,0.062068,0.889924
506,65537,125,1,0,0.000797,0.890721
57,65537,125,1,0,1e-06,0.890722
506,65537,125,1,0,0.00032,0.891042
57,65537,125,1,0,1e-06,0.891043
506,65537,125,1,0,0.0,0.891043
57,65537,125,1,0,0.00035,0.891393
506,65537,125,1,0,0.000493,0.891886
57,65537,125,1,0,5.2e-05,0.892236
506,65537,125,1,0,0.000638,0.892874
57,65537,125,1,0,2e-06,0.892876
506,65537,125,1,0,0.00033,0.893206
310,65537,125,1,0,0.000333,0.893789
310,65537,125,1,0,0.000573,0.894362
581,65537,125,1,0,0.000392,0.894754
17,65537,124,0,1,7.2e-05,0.895924
18,65537,123,1,0,0.004346,0.90027
17,65537,124,0,1,0.000197,0.900467
