asdu_len,io_type,type_id,src,dst,interval,relative_time_stamp
46,67,31,1,0,0.202736,8.191193
25,2,36,1,0,3.285928,11.477121
25,2,36,1,0,5.799724,17.276845
25,2,36,1,0,2.992513,21.27642
25,2,36,1,0,4.799476,26.075896
25,2,36,1,0,4.134814,35.274842
25,31,36,1,0,8.999155,44.273997
25,2,36,1,0,3.397576,48.673974
25,2,36,1,0,3.200293,51.874267
25,2,36,1,0,3.200431,55.074698
25,2,36,1,0,1.746621,60.875485
25,2,36,1,0,2.8024,63.677885
25,2,36,1,0,4.597544,68.275429
25,2,36,1,0,1.361198,72.674583
25,2,36,1,0,1.858788,84.669994
25,2,36,1,0,0.060095,94.867564
25,2,36,1,0,2.253881,97.121445
25,2,36,1,0,4.007955,101.1294
25,32,36,1,0,3.136876,104.266276
25,31,36,1,0,0.999782,105.266058
25,2,36,1,0,5.59194,111.866098
25,2,36,1,0,1.800139,113.666237
25,2,36,1,0,2.600248,116.266485
25,2,36,1,0,0.724299,123.0671
25,2,36,1,0,4.200581,127.267681
25,2,36,1,0,5.600897,132.868578
25,2,36,1,0,3.834321,137.705294
25,2,36,1,0,2.564188,140.269482
25,2,36,1,0,2.505538,149.871229
25,2,36,1,0,1.200281,151.07151
25,2,36,1,0,5.401045,156.472555
25,2,36,1,0,1.766889,161.273151
25,2,36,1,0,2.800591,164.073742
25,31,36,1,0,2.200314,166.274056
25,2,36,1,0,4.001175,170.275231
25,2,36,1,0,10.013181,181.297257
25,2,36,1,0,5.379648,186.676905
25,2,36,1,0,2.80011,189.477015
25,2,36,1,0,1.225387,193.47741
25,2,36,1,0,1.400197,194.877607
25,2,36,1,0,3.200501,198.078108
25,2,36,1,0,5.737829,208.880413
25,2,36,1,0,5.401073,214.281486
25,2,36,1,0,3.60097,217.882456
25,2,36,1,0,3.001486,221.884138
25,32,36,1,0,3.400094,225.284232
25,2,36,1,0,1.000284,226.284516
25,31,36,1,0,1.000386,227.284902
25,2,36,1,0,3.618179,230.903081
25,2,36,1,0,8.181213,240.08962
25,2,36,1,0,9.004641,249.094261
25,2,36,1,0,2.846826,252.946512
25,2,36,1,0,2.751564,255.698076
25,2,36,1,0,2.721023,265.503227
25,2,36,1,0,7.602779,273.106006
25,2,36,1,0,2.386391,277.507935
25,2,36,1,0,3.2008,280.708735
25,31,36,1,0,0.520756,288.312221
25,2,36,1,0,5.402519,293.71474
25,2,36,1,0,4.202142,297.916882
25,2,36,1,0,3.188376,302.119039
25,2,36,1,0,6.075356,318.328316
25,2,36,1,0,3.401814,321.73013
25,2,36,1,0,4.802189,326.532319
25,2,36,1,0,2.57888,331.134363
25,2,36,1,0,2.600935,333.735298
25,2,36,1,0,1.105137,341.937714
25,32,36,1,0,4.401231,346.338945
25,2,36,1,0,2.812535,349.15148
25,31,36,1,0,0.214279,349.365759
25,2,36,1,0,1.13367,353.541098
25,2,36,1,0,3.001314,356.542412
